咖喱	ga'li
攒聚	cuan'ju
校对	jiao'dui
蛋品	dan'jing
匀称	yun'chen
阿Ｑ	a'qiu
屏息	bing'xi
外传	wai'zhuan
生还	sheng'huan
公了	gong'liao
排行	pai'hang
雪茄	xue'jia
重合	chong'he
校点	jiao'dian
校注	jiao'zhu
招降	zhao'xiang
抹布	ma'bu
着意	zhuo'yi
长老	zhang'lao
统率	tong'shuai
列传	lie'zhuan
关卡	guan'qia
约略	yue'lue
了然	liao'ran
乞降	qi'xiang
省略	sheng'lue
血泊	xue'po
朝霞	zhao'xia
好恶	hao'wu
长膘	zhang'biao
斑蝥	ban'mao
刨床	bao'chuang
屏弃	bing'qi
剥取	bo'qu
调理	tiao'li
称心	chen'xin
吱声	zi'sheng
鼓乐	gu'yue
海参	hai'shen
呱呱	gu'gu
族长	zu'zhang
校本	jiao'ben
弹奏	tan'zou
新著	xin'zhe
疏浚	shu'jun
口角	kou'jue
略语	lue'yu
轻薄	qing'bo
泯没	min'mo
评弹	ping'tan
洋行	yang'hang
牛仔	niu'zi
群氓	qun'meng
狼藉	lang'ji
哨卡	shao'qia
色酒	shai'jiu
趔趄	lie'qie
模板	mu'ban
乐坛	yue'tan
铃铛	ling'dang
调价	tiao'jia
调唆	tiao'suo
露脸	lou'lian
差使	chai'shi
转文	zhuai'wen
长进	zhang'jin
本色	ben'shai
躯壳	qu'qiao
薄技	bo'ji
本行	ben'hang
商行	shang'hang
重霄	chong'xiao
重映	chong'ying
大夫	dai'fu
还报	huan'bao
名角	ming'jue
澄清	deng'qing
露头	lou'tou
还本	huan'ben
给养	ji'yang
狗刨	gou'bao
湮没	yan'mo
癞痢	la'li
抹脸	ma'lian
家什	jia'shi
里弄	li'long
冷轧	leng'ya
威吓	wei'he
剥落	bo'luo
深省	shen'xing
参差	cen'ci
见长	jian'zhang
商贾	shang'gu
重婚	chong'hun
恫吓	dong'he
劲敌	jing'di
绿林	lu'lin
磅礴	pang'bo
吐血	tu'xie
哽塞	geng'se
刮削	gua'xiao
挟持	xie'chi
薄雾	bo'wu
丑角	chou'jue
触觉	chu'jue
膀胱	pang'guang
薄板	bo'ban
建都	jian'du
调教	tiao'jiao
甲壳	jia'qiao
露白	lou'bai
露丑	lou'chou
和面	huo'mian
落价	lao'jia
略为	lue'wei
杉篙	sha'gao
隽永	juan'yong
弹唱	tan'chang
调制	tiao'zhi
沱茶	tuo'cha
姨丈	yin'zhang
乐律	yue'lv
婀娜	e'nuo
碑拓	bei'ta
边卡	bian'qia
谁人	shei'ren
成宿	cheng'xiu
省悟	xing'wu
还手	huan'shou
配给	pei'ji
调情	tiao'qing
隐没	yin'mo
冷颤	leng'zhan
语塞	yu'se
回纥	hui'he
着凉	zhao'liang
阔绰	kuo'chuo
句读	ju'dou
解数	xie'shu
长亲	zhang'qin
调戏	tiao'xi
啰唆	luo'suo
啰嗦	luo'suo
塞责	se'ze
牛扒	niu'pa
消长	xiao'zhang
奏乐	zou'yue
囤积	tun'ji
着色	zhuo'se
劝降	quan'xiang
仔鸡	zi'ji
苍劲	cang'jing
了账	liao'zhang
发还	fa'huan
焗油	ju'you
喽啰	lou'luo
迫降	po'xiang
血晕	xie'yun
裹挟	guo'xie
乐府	yue'fu
掺和	chan'huo
充塞	chong'se
暴虐	bao'nue
什物	shi'wu
重印	chong'yin
请降	qing'xiang
云杉	yun'sha
公差	gong'chai
模子	mu'zi
抢掠	qiang'lue
咋舌	ze'she
阿胶	e'jiao
了却	liao'que
率真	shuai'zhen
终了	zhong'liao
热轧	re'ya
味觉	wei'jue
重阳	chong'yang
蹊径	xi'jing
吁请	yu'qing
行话	hang'hua
还礼	huan'li
了当	liao'dang
钦差	qin'chai
重修	chong'xiu
差遣	chai'qian
调料	tiao'liao
小传	xiao'zhuan
校勘	jiao'kan
藏医	zang'yi
倾轧	qing'ya
阿谀	e'yu
弹跳	tan'tiao
降服	xiang'fu
抽咽	chou'ye
搅和	jiao'huo
弹力	tan'li
莞尔	wan'er
乐音	yue'yin
干咳	gan'ke
盘剥	pan'bo
谁个	shei'ge
弹指	tan'zhi
往还	wang'huan
定都	ding'du
归降	gui'xiang
军乐	jun'yue
临了	lin'liao
超薄	chao'bo
鄙薄	bi'bo
梗塞	geng'se
叔伯	shu'bai
乐谱	yue'pu
曾孙	zeng'sun
重审	chong'shen
荠菜	ji'cai
涅槃	nie'pan
弹压	tan'ya
调笑	tiao'xiao
嫌恶	xian'wu
噱头	xue'tou
还愿	huan'yuan
在行	zai'hang
着墨	zhuo'mo
纤夫	qian'fu
调养	tiao'yang
微调	wei'tiao
差役	chai'yi
呢喃	ni'nan
扒手	pa'shou
调谐	tiao'xie
薄暮	bo'mu
行规	hang'gui
滂沱	pang'tuo
仔猪	zi'zhu
交差	jiao'chai
薄命	bo'ming
刚劲	gang'jing
古刹	gu'sha
内省	nei'xing
藏历	zang'li
行会	hang'hui
校样	jiao'yang
军地	jun'de
剥蚀	bo'shi
重播	chong'bo
杉树	sha'shu
乐师	yue'shi
结扎	jie'za
评传	ping'zhuan
重译	chong'yi
懂行	dong'hang
行市	hang'shi
猜度	cai'duo
重行	chong'xing
拌和	ban'huo
率直	shuai'zhi
重唱	chong'chang
哪吒	ne'zha
扒窃	pa'qie
谐调	xie'tiao
厚薄	hou'bo
乙炔	yi'que
著文	zhe'wen
下咽	xia'ye
行伍	hang'wu
填塞	tian'se
绰约	chuo'yue
寒颤	han'zhan
摩挲	mo'sa
捆扎	kun'za
降伏	xiang'fu
受降	shou'xiang
调频	tiao'pin
道行	dao'heng
得了	de'liao
放还	fang'huan
故都	gu'du
配乐	pei'yue
调速	tiao'su
要著	yao'zhe
亢进	kang'jin
切削	qie'xiao
先觉	xian'jue
重洋	chong'yang
换血	huan'xie
脉脉	mo'mo
捧角	peng'jue
知了	zhi'liao
给水	ji'shui
调味	tiao'wei
喁喁	yu'yu
奉还	feng'huan
龟裂	jun'lie
星宿	xing'xiu
采血	cai'xie
重生	chong'sheng
该着	gai'zhao
呢绒	ni'rong
女红	nv'gong
藤蔓	teng'wan
拥塞	yong'se
长脸	zhang'lian
丹参	dan'shen
弹词	tan'ci
别传	bie'zhuan
花呢	hua'ni
打颤	da'zhan
挟带	xie'dai
重奏	chong'zou
覆没	fu'mo
袅娜	niao'nuo
遒劲	qiu'jing
辱没	ru'mo
卡子	qia'zi
弹射	tan'she
挟制	xie'zhi
菲薄	fei'bo
角力	jue'li
私了	si'liao
铜臭	tong'xiu
还俗	huan'su
劲射	jing'she
呢子	ni'zi
拓片	ta'pian
着慌	zhao'huang
着忙	zhao'mang
编校	bian'jiao
揣度	chuai'duo
上调	shang'tiao
重圆	chong'yuan
疯长	feng'zhang
宽绰	kuan'chuo
扁舟	pian'zhou
熨帖	yu'tie
朝晖	zhao'hui
拉纤	la'qian
调资	tiao'zi
还价	huan'jia
绵薄	mian'bo
喷薄	pen'bo
棚圈	peng'juan
轧制	ya'zhi
堡子	bu'zi
刨食	bao'shi
违拗	wei'ao
了无	liao'wu
率性	shuai'xing
驮子	duo'zi
蛤蜊	ge'li
校准	jiao'zhun
角斗	jue'dou
转行	zhuan'hang
屏退	bing'tui
党参	dang'shen
行间	hang'jian
美差	mei'chai
了断	liao'duan
讨还	tao'huan
行距	hang'ju
乜斜	mie'xie
陪都	pei'du
纤手	qian'shou
攒钱	cuan'qian
畜产	xu'chan
屏气	bing'qi
重名	chong'ming
攒动	cuan'dong
国乐	guo'yue
劲舞	jing'wu
软和	ruan'huo
省亲	xing'qin
吟哦	yin'e
薄情	bo'qing
回还	hui'huan
栓塞	shuan'se
拓本	ta'ben
调治	tiao'zhi
壅塞	yong'se
淤塞	yu'se
测度	ce'duo
瘠薄	ji'bo
着笔	zhuo'bi
重版	chong'ban
校订	jiao'ding
校阅	jiao'yue
瑜伽	yu'jia
作乐	zuo'yue
绑扎	bang'za
什锦	shi'jin
淤血	yu'xie
诈降	zha'xiang
还账	huan'zhang
苦差	ku'chai
降表	xiang'biao
大率	da'shuai
传略	zhuan'lue
诱降	you'xiang
藏青	zang'qing
忖度	cun'duo
道藏	dao'zang
核儿	hu'er
咯血	ka'xie
尊长	zun'zhang
拗口	ao'kou
放血	fang'xie
重犯	chong'fan
命薄	ming'bo
卡壳	qia'ke
尿泡	sui'pao
挺括	ting'gua
藏戏	zang'xi
重光	chong'guang
省视	xing'shi
咋呼	zha'hu
便溺	bian'niao
便血	bian'xie
薄地	bo'di
隔行	ge'hang
熨帖	yu'tie
旧都	jiu'du
调羹	tiao'geng
长门	zhang'men
浸没	jin'mo
经传	jing'zhuan
清还	qing'huan
禅让	shan'rang
调护	tiao'hu
痛觉	tong'jue
挟嫌	xie'xian
扛鼎	gang'ding
果脯	guo'fu
还嘴	huan'zui
叨扰	tao'rao
乐理	yue'li
重孙	chong'sun
还口	huan'kou
曾祖	zeng'zu
要略	yao'lue
抄没	chao'mo
粗率	cu'shuai
咽炎	ye'yan
着魔	zhao'mo
刨花	bao'hua
还魂	huan'hun
校改	jiao'gai
长上	zhang'shang
柞树	zuo'shu
重言	chong'yan
堕地	duo'de
调匀	tiao'yun
长房	zhang'fang
薄待	bo'dai
乖觉	guai'jue
锁钥	suo'yue
熨烫	yu'tang
鼻塞	bi'se
咖喱	ga'li
还阳	huan'yang
属意	zhu'yi
了局	liao'ju
牧畜	mu'xu
着数	zhao'shu
杭育	hang'yo
胶着	jiao'zhuo
嗨哟	hai'yo
奇数	ji'shu
了了	liao'liao
文蛤	wen'ge
薄礼	bo'li
失着	shi'zhao
事略	shi'lue
铁杉	tie'sha
雄劲	xiong'jing
拙著	zhuo'zhe
薄利	bo'li
重出	chong'chu
官差	guan'chai
热和	re'huo
套色	tao'shai
紫杉	zi'sha
耙地	ba'di
薄酒	bo'jiu
节略	jie'lue
折本	she'ben
畜养	xu'yang
嗨呀	hai'ya
甲亢	jia'kang
纳降	na'xiang
上色	shang'shai
薄幸	bo'xing
骨殖	gu'shi
雀子	qiao'zi
叨光	tao'guang
特行	te'hang
雁行	yan'hang
重样	chong'yang
打夯	da'hang
肥差	fei'chai
蛤蚧	ge'jie
校场	jiao'chang
粮囤	liang'tun
色子	shai'zi
择菜	zhai'cai
屏除	bing'chu
交恶	jiao'wu
纤绳	qian'sheng
调幅	tiao'fu
痛恶	tong'wu
省察	xing'cha
刨冰	bao'bing
重睹	chong'du
行款	hang'kuan
糜子	mei'zi
妙品	miao'jing
调级	tiao'ji
调弄	tiao'nong
薪给	xin'ji
银杉	yin'sha
藏香	zang'xiang
箭镞	jian'zu
柳杉	liu'sha
秘书长	mi'shu'zhang
董事长	dong'shi'zhang
增长率	zeng'zhang'lv
亲家母	qing'jia'mu
柬埔寨	jian'bu'zhai
畜牧业	xu'mu'ye
着眼于	zhuo'yan'yu
音乐会	yin'yue'hui
自觉性	zi'jue'xing
音乐片	yin'yue'pian
外行话	wai'hang'hua
了不起	liao'bu'qi
增长点	zeng'zhang'dian
受不了	shou'bu'liao
荨麻疹	xun'ma'zhen
目的地	mu'di'di
免不了	mian'bu'liao
空调病	kong'tiao'bing
会计师	kuai'ji'shi
不得了	bu'de'liao
音乐家	yin'yue'jia
少不了	shao'bu'liao
交响乐	jiao'xiang'yue
了不得	liao'bu'de
传记片	zhuan'ji'pian
没奈何	mo'nai'he
排行榜	pai'hang'bang
畜产品	xu'chan'pin
纪传体	ji'zhuan'ti
着重点	zhuo'zhong'dian
省略号	sheng'lue'hao
着眼点	zhuo'yan'dian
大不了	da'bu'liao
讨便宜	tao'pian'yi
弦乐器	xian'yue'qi
曾祖母	zeng'zu'mu
起落架	qi'lao'jia
重孙子	chong'sun'zi
胡萝卜	hu'luo'bo
红模子	hong'mu'zi
脖颈儿	bo'geng'er
血淋淋	xie'lin'lin
黄澄澄	huang'deng'deng
刨花板	bao'hua'ban
音乐厅	yin'yue'ting
煤核儿	mei'hu'er
傀儡戏	kui'lei'xi
刀削面	dao'xiao'mian
银行卡	yin'hang'ka
捡便宜	jian'pian'yi
硬着陆	ying'zhuo'lu
二重唱	er'chong'chang
弹簧锁	tan'huang'suo
卡脖子	qia'bo'zi
犯不着	fan'bu'zhao
嫡长子	di'zhang'zi
二重奏	er'chong'zou
三重奏	san'chong'zou
迫击炮	pai'ji'pao
百日咳	bai'ri'ke
生长期	sheng'zhang'qi
打工仔	da'gong'zi
占便宜	zhan'pian'yi
目的性	mu'di'xing
着力于	zhuo'li'yu
重阳节	chong'yang'jie
跨行业	kua'hang'ye
金钥匙	jin'yao'shi
负增长	fu'zeng'zhang
酋长国	qiu'zhang'guo
软着陆	ruan'zhuo'lu
性虐待	xing'nue'dai
音乐界	yin'yue'jie
军乐队	jun'yue'dui
唱主角	chang'zhu'jue
供给制	gong'ji'zhi
曾孙女	zeng'sun'nv
莲花落	lian'hua'lao
总务长	zong'wu'zhang
补给线	bu'ji'xian
生长点	sheng'zhang'dian
犯得着	fan'de'zhao
全武行	quan'wu'hang
管弦乐	guan'xian'yue
弹簧门	tan'huang'men
露一手	lou'yi'shou
血糊糊	xie'hu'hu
灵长目	ling'zhang'mu
露马脚	lou'ma'jiao
薄荷脑	bo'he'nao
二重性	er'chong'xing
干着急	gan'zhao'ji
调节税	tiao'jie'shui
发疟子	fa'yao'zi
家长制	jia'zhang'zhi
轻音乐	qing'yin'yue
管乐队	guan'yue'dui
开小差	kai'xiao'chai
零增长	ling'zeng'zhang
乱弹琴	luan'tan'qin
后尾儿	hou'yi'er
弹跳力	tan'tiao'li
调皮鬼	tiao'pi'gui
牛仔服	niu'zi'fu
数得着	shu'de'zhao
哥儿俩	ge'er'lia
着重号	zhuo'zhong'hao
大排行	da'pai'hang
非卖品	fei'mai'jing
生长素	sheng'zhang'su
轧花机	ya'hua'ji
老本行	lao'ben'hang
和稀泥	huo'xi'ni
的确良	di'que'liang
没着落	mei'zhuo'luo
直贡呢	zhi'gong'ni
罚没款	fa'mo'kuan
短不了	duan'bu'liao
大换血	da'huan'xie
干亲家	gan'qing'jia
曾祖父	zeng'zu'fu
管乐器	guan'yue'qi
军乐团	jun'yue'tuan
华达呢	hua'da'ni
配给制	pei'ji'zhi
三重唱	san'chong'chang
弦乐队	xian'yue'dui
胳肢窝	ga'zhi'wo
摇滚乐	yao'gun'yue
重孙女	chong'sun'nv
大伯子	da'bai'zi
粗花呢	cu'hua'ni
仡佬族	ge'lao'zu
两重性	liang'chong'xing
差旅费	chai'lv'fei
弹簧床	tan'huang'chuang
四重奏	si'chong'zou
急刹车	ji'sha'che
旦角儿	dan'jue'er
露馅儿	lou'xian'er
亲家公	qing'jia'gong
西洋参	xi'yang'shen
萝卜花	luo'bo'hua
乘务长	cheng'wu'zhang
弹簧秤	tan'huang'cheng
小萝卜	xiao'luo'bo
小便宜	xiao'pian'yi
缩略语	suo'lue'yu
弹簧钢	tan'huang'gang
附着力	fu'zhuo'li
室内乐	shi'nei'yue
地窨子	di'yin'zi
呼吁书	hu'yu'shu
爵士乐	jue'shi'yue
宏观调控	hong'guan'tiao'kong
退耕还林	tui'geng'huan'lin
不知不觉	bu'zhi'bu'jue
审时度势	shen'shi'duo'shi
剥削阶级	bo'xue'jie'ji
讨价还价	tao'jia'huan'jia
一模一样	yi'mu'yi'yang
没完没了	mei'wan'mei'liao
一目了然	yi'mu'liao'ran
朝气蓬勃	zhao'qi'peng'bo
直截了当	zhi'jie'liao'dang
未雨绸缪	wei'yu'chou'mou
有朝一日	you'zhao'yi'ri
一针见血	yi'zhen'jian'xie
有的放矢	you'di'fang'shi
字里行间	zi'li'hang'jian
参差不齐	cen'ci'bu'qi
铤而走险	ting'er'zou'xian
深恶痛绝	shen'wu'tong'jue
了如指掌	liao'ru'zhi'zhang
土生土长	tu'sheng'tu'zhang
阿弥陀佛	e'mi'tuo'fo
卷土重来	juan'tu'chong'lai
气势磅礴	qi'shi'pang'bo
不了了之	bu'liao'liao'zhi
一朝一夕	yi'zhao'yi'xi
发人深省	fa'ren'shen'xing
装模作样	zhuang'mu'zuo'yang
捉襟见肘	zhuo'jin'xian'zhou
只争朝夕	zhi'zheng'zhao'xi
自给自足	zi'ji'zi'zu
不着边际	bu'zhuo'bian'ji
大模大样	da'mu'da'yang
影影绰绰	ying'ying'chuo'chuo
风调雨顺	feng'tiao'yu'shun
不省人事	bu'xing'ren'shi
敷衍了事	fu'yan'liao'shi
音乐电视	yin'yue'dian'shi
众口难调	zhong'kou'nan'tiao
朝思暮想	zhao'si'mu'xiang
重温旧梦	chong'wen'jiu'meng
打击乐器	da'ji'yue'qi
远涉重洋	yuan'she'chong'yang
重整旗鼓	chong'zheng'qi'gu
中央银行	zhong'yang'yin'hang
家长学校	jia'zhang'xue'xiao
歪打正着	wai'da'zheng'zhao
返老还童	fan'lao'huan'tong
朝不保夕	zhao'bu'bao'xi
重振旗鼓	chong'zhen'qi'gu
朝发夕至	zhao'fa'xi'zhi
先知先觉	xian'zhi'xian'jue
拔苗助长	ba'miao'zhu'zhang
一丘之貉	yi'qiu'zhi'he
薄利多销	bo'li'duo'xiao
广种薄收	guang'zhong'bo'shou
电子音乐	dian'zi'yin'yue
略见一斑	lue'jian'yi'ban
否极泰来	pi'ji'tai'lai
揠苗助长	ya'miao'zhu'zhang
故伎重演	gu'ji'chong'yan
吃里扒外	chi'li'pa'wai
音乐喷泉	yin'yue'pen'quan
众矢之的	zhong'shi'zhi'di
风姿绰约	feng'zi'chuo'yue
锒铛入狱	lang'dang'ru'yu
鬼使神差	gui'shi'shen'chai
人模狗样	ren'mu'gou'yang
五行八作	wu'hang'ba'zuo
细嚼慢咽	xi'jiao'man'ye
囤积居奇	tun'ji'ju'qi
怎么得了	zen'me'de'liao
对牛弹琴	dui'niu'tan'qin
刚直不阿	gang'zhi'bu'e
重见天日	chong'jian'tian'ri
双重国籍	shuang'chong'guo'ji
引吭高歌	yin'hang'gao'ge
婀娜多姿	e'nuo'duo'zi
一走了之	yi'zou'liao'zhi
吹拉弹唱	chui'la'tan'chang
借尸还魂	jie'shi'huan'hun
另辟蹊径	ling'pi'xi'jing
怪模怪样	guai'mu'guai'yang
广东音乐	guang'dong'yin'yue
言归正传	yan'gui'zheng'zhuan
刚正不阿	gang'zheng'bu'e
一目十行	yi'mu'shi'hang
数见不鲜	shuo'jian'bu'xian
重修旧好	chong'xiu'jiu'hao
好逸恶劳	hao'yi'wu'lao
无声无臭	wu'sheng'wu'xiu
钦差大臣	qin'chai'da'chen
老调重弹	lao'diao'chong'tan
严肃音乐	yan'su'yin'yue
朝令夕改	zhao'ling'xi'gai
雄才大略	xiong'cai'da'lue
冰肌玉骨	ning'ji'yu'gu
欺行霸市	qi'hang'ba'shi
朝三暮四	zhao'san'mu'si
音乐茶座	yin'yue'cha'zuo
重蹈覆辙	chong'dao'fu'zhe
儿女亲家	er'nv'qing'jia
不卑不亢	bu'bei'bu'kang
窗口行业	chuang'kou'hang'ye
弹冠相庆	tan'guan'xiang'qing
余勇可贾	yu'yong'ke'gu
臧否人物	zang'pi'ren'wu
夷为平地	yi'wei'ping'de
助桀为虐	zhu'jie'wei'nue
绰绰有余	chuo'chuo'you'yu
声名狼藉	sheng'ming'lang'ji
虚与委蛇	xu'yu'wei'yi
电声乐队	dian'sheng'yue'dui
不见经传	bu'jian'jing'zhuan
重起炉灶	chong'qi'lu'zao
买椟还珠	mai'du'huan'zhu
重峦叠嶂	chong'luan'die'zhang
胡萝卜素	hu'luo'bo'su
七十二行	qi'shi'er'hang
教学相长	jiao'xue'xiang'zhang
大腹便便	da'fu'pian'pian
鹿死谁手	lu'si'shei'shou
茅塞顿开	mao'se'dun'kai
敷衍塞责	fu'yan'se'ze
朝朝暮暮	zhao'zhao'mu'mu
阿谀奉承	e'yu'feng'cheng
破镜重圆	po'jing'chong'yuan
嘁嘁喳喳	qi'qi'cha'cha
行家里手	hang'jia'li'shou
随行就市	sui'hang'jiu'shi
丢三落四	diu'san'la'si
自怨自艾	zi'yuan'zi'yi
阿谀逢迎	e'yu'feng'ying
丢卒保车	diu'zu'bao'ju
一语中的	yi'yu'zhong'di
浑身解数	hun'shen'xie'shu
闭目塞听	bi'mu'se'ting
助纣为虐	zhu'zhou'wei'nue
像模像样	xiang'mu'xiang'yang
神出鬼没	shen'chu'gui'mo
攻城略地	gong'cheng'lue'di
呱呱落地	gu'gu'luo'de
一语破的	yi'yu'po'di
挟嫌报复	xie'xian'bao'fu
称心如意	chen'xin'ru'yi
别无长物	bie'wu'zhang'wu
杯盘狼藉	bei'pan'lang'ji
无的放矢	wu'di'fang'shi
温情脉脉	wen'qing'mo'mo
厚古薄今	hou'gu'bo'jin
告老还乡	gao'lao'huan'xiang
衣锦还乡	yi'jin'huan'xiang
富商大贾	fu'shang'da'gu
金蝉脱壳	jin'chan'tuo'qiao
尖酸刻薄	jian'suan'ke'bo
四舍五入	si'she'wu'ren
瑕瑜互见	xia'yu'hu'xian
厚此薄彼	hou'ci'bo'bi
潜滋暗长	qian'zi'an'zhang
吱吱喳喳	zhi'zhi'cha'cha
树碑立传	shu'bei'li'zhuan
吵吵嚷嚷	chao'chao'rang
出头露面	chu'tou'lou'mian
通都大邑	tong'du'da'yi
疾风劲草	ji'feng'jing'cao
大气磅礴	da'qi'pang'bo
心广体胖	xin'guang'ti'pan
行成于思	xing'cheng'yu'sai
下不了台	xia'bu'liao'tai
没齿不忘	mo'chi'bu'wang
如履薄冰	ru'lv'bo'bing
呱呱坠地	gu'gu'zhui'di
妄自菲薄	wang'zi'fei'bo
顾虑重重	gu'lv'chong'chong
辗转反侧	zhan'zhuan'fan'ce
羽扇纶巾	yu'shan'guan'jin
卡拉ＯＫ	ka'la'ou'kei
双重人格	shuang'chong'ren'ge
生吞活剥	sheng'tun'huo'bo
独辟蹊径	du'pi'xi'jing
红颜薄命	hong'yan'bo'ming
叔伯兄弟	shu'bai'xiong'di
一了百了	yi'liao'bai'liao
拾级而上	she'ji'er'shang
略胜一筹	lue'sheng'yi'chou
长官意志	zhang'guan'yi'zhi
心宽体胖	xin'kuan'ti'pan
旧调重弹	jiu'diao'chong'tan
顿开茅塞	dun'kai'mao'se
日薄西山	ri'bo'xi'shan
朝秦暮楚	zhao'qin'mu'chu
名不见经传	ming'bu'jian'jing'zhuan
布尔什维克	bu'er'shi'wei'ke
杀人不见血	sha'ren'bu'jian'xie
一物降一物	yi'wu'xiang'yi'wu
调制解调器	tiao'zhi'jie'tiao'qi
三百六十行	san'bai'liu'shi'hang
一二·九运动	yi'er'jiu'yun'dong
